subject,fuzzer,data_type,time,data
live555,aflnet,nodes,176,9.0
live555,aflnet,nodes,177,9.0
live555,aflnet,nodes,178,9.0
live555,aflnet,nodes,179,9.0
live555,aflnet,nodes,180,9.0
live555,aflnet,nodes,181,9.0
live555,aflnet,nodes,182,9.0
live555,aflnet,nodes,183,9.0
live555,aflnet,nodes,184,9.0
live555,aflnet,nodes,185,9.0
live555,aflnet,nodes,186,9.0
live555,aflnet,nodes,187,9.0
live555,aflnet,nodes,188,9.0
live555,aflnet,nodes,189,9.0
live555,aflnet,nodes,190,9.0
live555,aflnet,nodes,191,9.0
live555,aflnet,nodes,192,9.0
live555,aflnet,nodes,193,9.0
live555,aflnet,nodes,194,9.0
live555,aflnet,nodes,195,9.0
live555,aflnet,nodes,196,9.0
live555,aflnet,nodes,197,9.0
live555,aflnet,nodes,198,9.0
live555,aflnet,nodes,199,9.0
live555,aflnet,nodes,200,9.0
live555,aflnet,nodes,201,9.0
live555,aflnet,nodes,202,9.0
live555,aflnet,nodes,203,9.0
live555,aflnet,nodes,204,9.0
live555,aflnet,nodes,205,9.0
live555,aflnet,nodes,206,9.0
live555,aflnet,nodes,207,9.0
live555,aflnet,nodes,208,9.0
live555,aflnet,nodes,209,9.0
live555,aflnet,nodes,210,9.0
live555,aflnet,nodes,211,9.0
live555,aflnet,nodes,212,9.0
live555,aflnet,nodes,213,9.0
live555,aflnet,nodes,214,9.0
live555,aflnet,nodes,215,9.0
live555,aflnet,nodes,216,9.0
live555,aflnet,nodes,217,9.0
live555,aflnet,nodes,218,9.0
live555,aflnet,nodes,219,9.0
live555,aflnet,nodes,220,9.0
live555,aflnet,nodes,221,9.0
live555,aflnet,nodes,222,9.0
live555,aflnet,nodes,223,9.0
live555,aflnet,nodes,224,9.0
live555,aflnet,nodes,225,9.0
live555,aflnet,nodes,226,9.0
live555,aflnet,nodes,227,9.0
live555,aflnet,nodes,228,9.0
live555,aflnet,nodes,229,9.0
live555,aflnet,nodes,230,9.0
live555,aflnet,nodes,231,9.0
live555,aflnet,nodes,232,9.0
live555,aflnet,nodes,233,9.0
live555,aflnet,nodes,234,9.0
live555,aflnet,nodes,235,9.0
live555,aflnet,nodes,236,9.0
live555,aflnet,nodes,237,9.0
live555,aflnet,nodes,238,9.0
live555,aflnet,nodes,239,9.0
live555,aflnet,nodes,240,9.0
live555,aflnet,nodes,241,9.0
live555,aflnet,nodes,242,9.0
live555,aflnet,nodes,243,9.0
live555,aflnet,nodes,244,9.0
live555,aflnet,nodes,245,9.0
live555,aflnet,nodes,246,9.0
live555,aflnet,nodes,247,9.0
live555,aflnet,nodes,248,9.0
live555,aflnet,nodes,249,9.0
live555,aflnet,nodes,250,9.0
live555,aflnet,nodes,251,9.0
live555,aflnet,nodes,252,9.0
live555,aflnet,nodes,253,9.0
live555,aflnet,nodes,254,9.0
live555,aflnet,nodes,255,9.0
live555,aflnet,nodes,256,9.0
live555,aflnet,nodes,257,9.0
live555,aflnet,nodes,258,9.0
live555,aflnet,nodes,259,9.0
live555,aflnet,nodes,260,9.0
live555,aflnet,nodes,261,9.0
live555,aflnet,nodes,262,9.0
live555,aflnet,nodes,263,9.0
live555,aflnet,nodes,264,9.0
live555,aflnet,nodes,265,9.0
live555,aflnet,nodes,266,9.0
live555,aflnet,nodes,267,9.0
live555,aflnet,nodes,268,9.0
live555,aflnet,nodes,269,9.0
live555,aflnet,nodes,270,9.0
live555,aflnet,nodes,271,9.0
live555,aflnet,nodes,272,9.0
live555,aflnet,nodes,273,9.0
live555,aflnet,nodes,274,9.0
live555,aflnet,nodes,275,9.0
live555,aflnet,nodes,276,9.0
live555,aflnet,nodes,277,9.0
live555,aflnet,nodes,278,9.0
live555,aflnet,nodes,279,9.0
live555,aflnet,nodes,280,9.0
live555,aflnet,nodes,281,9.0
live555,aflnet,nodes,282,9.0
live555,aflnet,nodes,283,9.0
live555,aflnet,nodes,284,9.0
live555,aflnet,nodes,285,9.0
live555,aflnet,nodes,286,9.0
live555,aflnet,nodes,287,9.0
live555,aflnet,nodes,288,9.0
live555,aflnet,nodes,289,9.0
live555,aflnet,nodes,290,9.0
live555,aflnet,nodes,291,9.0
live555,aflnet,nodes,292,9.0
live555,aflnet,nodes,293,9.0
live555,aflnet,nodes,294,9.0
live555,aflnet,nodes,295,9.0
live555,aflnet,nodes,296,9.0
live555,aflnet,nodes,297,9.0
live555,aflnet,nodes,298,9.0
live555,aflnet,nodes,299,9.0
