time,subject,fuzzer,run,state_type,state
1764835259,live555,aflnet,1,edges,39
1764836101,live555,aflnet,1,nodes,9
1764836101,live555,aflnet,1,edges,40
1764836702,live555,aflnet,1,nodes,9
1764836702,live555,aflnet,1,edges,40
1764837244,live555,aflnet,1,nodes,9
1764837244,live555,aflnet,1,edges,40
1764837784,live555,aflnet,1,nodes,9
1764837784,live555,aflnet,1,edges,40
1764838568,live555,aflnet,1,nodes,9
1764838568,live555,aflnet,1,edges,40
1764839589,live555,aflnet,1,nodes,9
1764839589,live555,aflnet,1,edges,40
1764840191,live555,aflnet,1,nodes,9
1764840191,live555,aflnet,1,edges,40
1764841035,live555,aflnet,1,nodes,9
1764841035,live555,aflnet,1,edges,41
1764841636,live555,aflnet,1,nodes,9
1764841636,live555,aflnet,1,edges,41
1764842177,live555,aflnet,1,nodes,9
1764842177,live555,aflnet,1,edges,42
1764842839,live555,aflnet,1,nodes,9
1764842839,live555,aflnet,1,edges,42
1764843380,live555,aflnet,1,nodes,9
1764843380,live555,aflnet,1,edges,43
1764844222,live555,aflnet,1,nodes,9
1764844222,live555,aflnet,1,edges,44
1764845124,live555,aflnet,1,nodes,9
1764845124,live555,aflnet,1,edges,44
1764845664,live555,aflnet,1,nodes,9
1764845664,live555,aflnet,1,edges,44
1764847586,live555,aflnet,1,nodes,9
1764847586,live555,aflnet,1,edges,44
1764848188,live555,aflnet,1,nodes,9
1764848188,live555,aflnet,1,edges,44
1764848729,live555,aflnet,1,nodes,9
1764848729,live555,aflnet,1,edges,44
1764849390,live555,aflnet,1,nodes,9
1764849390,live555,aflnet,1,edges,44
1764850111,live555,aflnet,1,nodes,9
1764850111,live555,aflnet,1,edges,44
1764850832,live555,aflnet,1,nodes,9
1764850832,live555,aflnet,1,edges,44
1764851553,live555,aflnet,1,nodes,9
1764851553,live555,aflnet,1,edges,44
1764852154,live555,aflnet,1,nodes,9
1764852154,live555,aflnet,1,edges,44
1764852754,live555,aflnet,1,nodes,9
1764852754,live555,aflnet,1,edges,44
1764853295,live555,aflnet,1,nodes,9
1764853295,live555,aflnet,1,edges,44
1764854257,live555,aflnet,1,nodes,9
