subject,fuzzer,data_type,time,data
forked-daapd,aflnet,nodes,144,0.0
forked-daapd,aflnet,nodes,145,0.0
forked-daapd,aflnet,nodes,146,0.0
forked-daapd,aflnet,nodes,147,0.0
forked-daapd,aflnet,nodes,148,0.0
forked-daapd,aflnet,nodes,149,0.0
forked-daapd,aflnet,nodes,150,0.0
forked-daapd,aflnet,nodes,151,0.0
forked-daapd,aflnet,nodes,152,0.0
forked-daapd,aflnet,nodes,153,0.0
forked-daapd,aflnet,nodes,154,0.0
forked-daapd,aflnet,nodes,155,0.0
forked-daapd,aflnet,nodes,156,0.0
forked-daapd,aflnet,nodes,157,0.0
forked-daapd,aflnet,nodes,158,0.0
forked-daapd,aflnet,nodes,159,0.0
forked-daapd,aflnet,nodes,160,0.0
forked-daapd,aflnet,nodes,161,0.0
forked-daapd,aflnet,nodes,162,0.0
forked-daapd,aflnet,nodes,163,0.0
forked-daapd,aflnet,nodes,164,0.0
forked-daapd,aflnet,nodes,165,0.0
forked-daapd,aflnet,nodes,166,0.0
forked-daapd,aflnet,nodes,167,0.0
forked-daapd,aflnet,nodes,168,0.0
forked-daapd,aflnet,nodes,169,0.0
forked-daapd,aflnet,nodes,170,0.0
forked-daapd,aflnet,nodes,171,0.0
forked-daapd,aflnet,nodes,172,0.0
forked-daapd,aflnet,nodes,173,0.0
forked-daapd,aflnet,nodes,174,0.0
forked-daapd,aflnet,nodes,175,0.0
forked-daapd,aflnet,nodes,176,0.0
forked-daapd,aflnet,nodes,177,0.0
forked-daapd,aflnet,nodes,178,0.0
forked-daapd,aflnet,nodes,179,0.0
forked-daapd,aflnet,nodes,180,0.0
forked-daapd,aflnet,nodes,181,0.0
forked-daapd,aflnet,nodes,182,0.0
forked-daapd,aflnet,nodes,183,0.0
forked-daapd,aflnet,nodes,184,0.0
forked-daapd,aflnet,nodes,185,0.0
forked-daapd,aflnet,nodes,186,0.0
forked-daapd,aflnet,nodes,187,0.0
forked-daapd,aflnet,nodes,188,0.0
forked-daapd,aflnet,nodes,189,0.0
forked-daapd,aflnet,nodes,190,0.0
forked-daapd,aflnet,nodes,191,0.0
forked-daapd,aflnet,nodes,192,0.0
forked-daapd,aflnet,nodes,193,0.0
forked-daapd,aflnet,nodes,194,0.0
forked-daapd,aflnet,nodes,195,0.0
forked-daapd,aflnet,nodes,196,0.0
forked-daapd,aflnet,nodes,197,0.0
forked-daapd,aflnet,nodes,198,0.0
forked-daapd,aflnet,nodes,199,0.0
forked-daapd,aflnet,nodes,200,0.0
forked-daapd,aflnet,nodes,201,0.0
forked-daapd,aflnet,nodes,202,0.0
forked-daapd,aflnet,nodes,203,0.0
forked-daapd,aflnet,nodes,204,0.0
forked-daapd,aflnet,nodes,205,0.0
forked-daapd,aflnet,nodes,206,0.0
forked-daapd,aflnet,nodes,207,0.0
forked-daapd,aflnet,nodes,208,0.0
forked-daapd,aflnet,nodes,209,0.0
forked-daapd,aflnet,nodes,210,0.0
forked-daapd,aflnet,nodes,211,0.0
forked-daapd,aflnet,nodes,212,0.0
forked-daapd,aflnet,nodes,213,0.0
forked-daapd,aflnet,nodes,214,0.0
forked-daapd,aflnet,nodes,215,0.0
forked-daapd,aflnet,nodes,216,0.0
forked-daapd,aflnet,nodes,217,0.0
forked-daapd,aflnet,nodes,218,0.0
forked-daapd,aflnet,nodes,219,0.0
forked-daapd,aflnet,nodes,220,0.0
forked-daapd,aflnet,nodes,221,0.0
forked-daapd,aflnet,nodes,222,0.0
forked-daapd,aflnet,nodes,223,0.0
forked-daapd,aflnet,nodes,224,0.0
forked-daapd,aflnet,nodes,225,0.0
forked-daapd,aflnet,nodes,226,0.0
forked-daapd,aflnet,nodes,227,0.0
forked-daapd,aflnet,nodes,228,0.0
forked-daapd,aflnet,nodes,229,0.0
forked-daapd,aflnet,nodes,230,0.0
forked-daapd,aflnet,nodes,231,0.0
forked-daapd,aflnet,nodes,232,0.0
forked-daapd,aflnet,nodes,233,0.0
forked-daapd,aflnet,nodes,234,0.0
forked-daapd,aflnet,nodes,235,0.0
forked-daapd,aflnet,nodes,236,0.0
forked-daapd,aflnet,nodes,237,0.0
forked-daapd,aflnet,nodes,238,0.0
forked-daapd,aflnet,nodes,239,0.0
forked-daapd,aflnet,nodes,240,0.0
forked-daapd,aflnet,nodes,241,0.0
forked-daapd,aflnet,nodes,242,0.0
forked-daapd,aflnet,nodes,243,0.0
forked-daapd,aflnet,nodes,244,0.0
forked-daapd,aflnet,nodes,245,0.0
forked-daapd,aflnet,nodes,246,0.0
forked-daapd,aflnet,nodes,247,0.0
forked-daapd,aflnet,nodes,248,0.0
forked-daapd,aflnet,nodes,249,0.0
forked-daapd,aflnet,nodes,250,0.0
forked-daapd,aflnet,nodes,251,0.0
forked-daapd,aflnet,nodes,252,0.0
forked-daapd,aflnet,nodes,253,0.0
forked-daapd,aflnet,nodes,254,0.0
forked-daapd,aflnet,nodes,255,0.0
forked-daapd,aflnet,nodes,256,0.0
forked-daapd,aflnet,nodes,257,0.0
forked-daapd,aflnet,nodes,258,0.0
forked-daapd,aflnet,nodes,259,0.0
forked-daapd,aflnet,nodes,260,0.0
forked-daapd,aflnet,nodes,261,0.0
forked-daapd,aflnet,nodes,262,0.0
forked-daapd,aflnet,nodes,263,0.0
forked-daapd,aflnet,nodes,264,0.0
forked-daapd,aflnet,nodes,265,0.0
forked-daapd,aflnet,nodes,266,0.0
forked-daapd,aflnet,nodes,267,0.0
forked-daapd,aflnet,nodes,268,0.0
forked-daapd,aflnet,nodes,269,0.0
forked-daapd,aflnet,nodes,270,0.0
forked-daapd,aflnet,nodes,271,0.0
forked-daapd,aflnet,nodes,272,0.0
forked-daapd,aflnet,nodes,273,0.0
forked-daapd,aflnet,nodes,274,0.0
forked-daapd,aflnet,nodes,275,0.0
forked-daapd,aflnet,nodes,276,0.0
forked-daapd,aflnet,nodes,277,0.0
forked-daapd,aflnet,nodes,278,0.0
forked-daapd,aflnet,nodes,279,0.0
forked-daapd,aflnet,nodes,280,0.0
forked-daapd,aflnet,nodes,281,0.0
forked-daapd,aflnet,nodes,282,0.0
forked-daapd,aflnet,nodes,283,0.0
forked-daapd,aflnet,nodes,284,0.0
forked-daapd,aflnet,nodes,285,0.0
forked-daapd,aflnet,nodes,286,0.0
forked-daapd,aflnet,nodes,287,0.0
forked-daapd,aflnet,nodes,288,0.0
forked-daapd,aflnet,nodes,289,0.0
forked-daapd,aflnet,nodes,290,0.0
forked-daapd,aflnet,nodes,291,0.0
forked-daapd,aflnet,nodes,292,0.0
forked-daapd,aflnet,nodes,293,0.0
forked-daapd,aflnet,nodes,294,0.0
forked-daapd,aflnet,nodes,295,0.0
forked-daapd,aflnet,nodes,296,0.0
forked-daapd,aflnet,nodes,297,0.0
forked-daapd,aflnet,nodes,298,0.0
forked-daapd,aflnet,nodes,299,0.0
forked-daapd,aflnet,nodes,300,0.0
forked-daapd,aflnet,nodes,301,0.0
forked-daapd,aflnet,nodes,302,0.0
forked-daapd,aflnet,nodes,303,0.0
forked-daapd,aflnet,nodes,304,0.0
forked-daapd,aflnet,nodes,305,0.0
forked-daapd,aflnet,nodes,306,0.0
forked-daapd,aflnet,nodes,307,0.0
forked-daapd,aflnet,nodes,308,0.0
forked-daapd,aflnet,nodes,309,0.0
forked-daapd,aflnet,nodes,310,0.0
forked-daapd,aflnet,nodes,311,0.0
forked-daapd,aflnet,nodes,312,0.0
forked-daapd,aflnet,nodes,313,0.0
forked-daapd,aflnet,nodes,314,0.0
forked-daapd,aflnet,nodes,315,0.0
forked-daapd,aflnet,nodes,316,0.0
forked-daapd,aflnet,nodes,317,0.0
forked-daapd,aflnet,nodes,318,0.0
forked-daapd,aflnet,nodes,319,0.0
forked-daapd,aflnet,nodes,320,0.0
forked-daapd,aflnet,nodes,321,0.0
forked-daapd,aflnet,nodes,322,0.0
forked-daapd,aflnet,nodes,323,0.0
forked-daapd,aflnet,nodes,324,0.0
forked-daapd,aflnet,nodes,325,0.0
forked-daapd,aflnet,nodes,326,0.0
forked-daapd,aflnet,nodes,327,0.0
forked-daapd,aflnet,nodes,328,0.0
forked-daapd,aflnet,nodes,329,0.0
forked-daapd,aflnet,nodes,330,0.0
forked-daapd,aflnet,nodes,331,0.0
forked-daapd,aflnet,nodes,332,0.0
forked-daapd,aflnet,nodes,333,0.0
forked-daapd,aflnet,nodes,334,0.0
forked-daapd,aflnet,nodes,335,0.0
forked-daapd,aflnet,nodes,336,0.0
forked-daapd,aflnet,nodes,337,0.0
forked-daapd,aflnet,nodes,338,0.0
forked-daapd,aflnet,nodes,339,0.0
forked-daapd,aflnet,nodes,340,0.0
forked-daapd,aflnet,nodes,341,0.0
forked-daapd,aflnet,nodes,342,0.0
forked-daapd,aflnet,nodes,343,0.0
forked-daapd,aflnet,nodes,344,0.0
forked-daapd,aflnet,nodes,345,0.0
forked-daapd,aflnet,nodes,346,0.0
forked-daapd,aflnet,nodes,347,0.0
forked-daapd,aflnet,nodes,348,0.0
forked-daapd,aflnet,nodes,349,0.0
forked-daapd,aflnet,nodes,350,0.0
forked-daapd,aflnet,nodes,351,0.0
forked-daapd,aflnet,nodes,352,0.0
forked-daapd,aflnet,nodes,353,0.0
forked-daapd,aflnet,nodes,354,0.0
forked-daapd,aflnet,nodes,355,0.0
forked-daapd,aflnet,nodes,356,0.0
forked-daapd,aflnet,nodes,357,0.0
forked-daapd,aflnet,nodes,358,0.0
forked-daapd,aflnet,nodes,359,0.0
forked-daapd,aflnet,nodes,360,0.0
forked-daapd,aflnet,nodes,361,0.0
forked-daapd,aflnet,nodes,362,0.0
forked-daapd,aflnet,nodes,363,0.0
forked-daapd,aflnet,nodes,364,0.0
forked-daapd,aflnet,nodes,365,0.0
forked-daapd,aflnet,nodes,366,0.0
forked-daapd,aflnet,nodes,367,0.0
forked-daapd,aflnet,nodes,368,0.0
forked-daapd,aflnet,nodes,369,0.0
forked-daapd,aflnet,nodes,370,0.0
forked-daapd,aflnet,nodes,371,0.0
forked-daapd,aflnet,nodes,372,0.0
forked-daapd,aflnet,nodes,373,0.0
forked-daapd,aflnet,nodes,374,0.0
forked-daapd,aflnet,nodes,375,0.0
forked-daapd,aflnet,nodes,376,0.0
forked-daapd,aflnet,nodes,377,0.0
forked-daapd,aflnet,nodes,378,0.0
forked-daapd,aflnet,nodes,379,0.0
forked-daapd,aflnet,nodes,380,0.0
forked-daapd,aflnet,nodes,381,0.0
forked-daapd,aflnet,nodes,382,0.0
forked-daapd,aflnet,nodes,383,0.0
forked-daapd,aflnet,nodes,384,0.0
forked-daapd,aflnet,nodes,385,0.0
forked-daapd,aflnet,nodes,386,0.0
forked-daapd,aflnet,nodes,387,0.0
forked-daapd,aflnet,nodes,388,0.0
forked-daapd,aflnet,nodes,389,0.0
forked-daapd,aflnet,nodes,390,0.0
forked-daapd,aflnet,nodes,391,0.0
forked-daapd,aflnet,nodes,392,0.0
forked-daapd,aflnet,nodes,393,0.0
forked-daapd,aflnet,nodes,394,0.0
forked-daapd,aflnet,nodes,395,0.0
forked-daapd,aflnet,nodes,396,0.0
forked-daapd,aflnet,nodes,397,0.0
forked-daapd,aflnet,nodes,398,0.0
forked-daapd,aflnet,nodes,399,0.0
forked-daapd,aflnet,nodes,400,0.0
forked-daapd,aflnet,nodes,401,0.0
forked-daapd,aflnet,nodes,402,0.0
forked-daapd,aflnet,nodes,403,0.0
forked-daapd,aflnet,nodes,404,0.0
forked-daapd,aflnet,nodes,405,0.0
forked-daapd,aflnet,nodes,406,0.0
forked-daapd,aflnet,nodes,407,0.0
forked-daapd,aflnet,nodes,408,0.0
forked-daapd,aflnet,nodes,409,0.0
forked-daapd,aflnet,nodes,410,0.0
forked-daapd,aflnet,nodes,411,0.0
forked-daapd,aflnet,nodes,412,0.0
forked-daapd,aflnet,nodes,413,0.0
forked-daapd,aflnet,nodes,414,0.0
forked-daapd,aflnet,nodes,415,0.0
forked-daapd,aflnet,nodes,416,0.0
forked-daapd,aflnet,nodes,417,0.0
forked-daapd,aflnet,nodes,418,0.0
forked-daapd,aflnet,nodes,419,0.0
forked-daapd,aflnet,nodes,420,0.0
forked-daapd,aflnet,nodes,421,0.0
forked-daapd,aflnet,nodes,422,0.0
forked-daapd,aflnet,nodes,423,0.0
forked-daapd,aflnet,nodes,424,0.0
forked-daapd,aflnet,nodes,425,0.0
forked-daapd,aflnet,nodes,426,0.0
forked-daapd,aflnet,nodes,427,0.0
forked-daapd,aflnet,nodes,428,0.0
forked-daapd,aflnet,nodes,429,0.0
forked-daapd,aflnet,nodes,430,0.0
forked-daapd,aflnet,nodes,431,0.0
forked-daapd,aflnet,nodes,432,0.0
forked-daapd,aflnet,nodes,433,0.0
forked-daapd,aflnet,nodes,434,0.0
