time,subject,fuzzer,run,state_type,state
1764720562,proftpd,aflnet,1,nodes,13
1764720562,proftpd,aflnet,1,edges,23
1764720567,proftpd,aflnet,1,nodes,14
1764720567,proftpd,aflnet,1,edges,25
1764720572,proftpd,aflnet,1,nodes,14
1764720572,proftpd,aflnet,1,edges,25
1764720577,proftpd,aflnet,1,nodes,14
1764720577,proftpd,aflnet,1,edges,25
1764720582,proftpd,aflnet,1,nodes,14
1764720582,proftpd,aflnet,1,edges,25
1764720587,proftpd,aflnet,1,nodes,14
1764720587,proftpd,aflnet,1,edges,25
1764720592,proftpd,aflnet,1,nodes,14
1764720592,proftpd,aflnet,1,edges,25
1764720598,proftpd,aflnet,1,nodes,14
1764720598,proftpd,aflnet,1,edges,25
1764720603,proftpd,aflnet,1,nodes,14
1764720603,proftpd,aflnet,1,edges,25
1764720608,proftpd,aflnet,1,nodes,14
1764720608,proftpd,aflnet,1,edges,25
1764720613,proftpd,aflnet,1,nodes,14
1764720613,proftpd,aflnet,1,edges,25
1764720623,proftpd,aflnet,1,nodes,14
1764720623,proftpd,aflnet,1,edges,26
1764720629,proftpd,aflnet,1,nodes,14
1764720629,proftpd,aflnet,1,edges,28
1764720634,proftpd,aflnet,1,nodes,14
1764720634,proftpd,aflnet,1,edges,28
1764720639,proftpd,aflnet,1,nodes,14
1764720639,proftpd,aflnet,1,edges,28
1764720644,proftpd,aflnet,1,nodes,14
1764720644,proftpd,aflnet,1,edges,28
1764720649,proftpd,aflnet,1,nodes,14
1764720649,proftpd,aflnet,1,edges,28
1764720654,proftpd,aflnet,1,nodes,14
1764720654,proftpd,aflnet,1,edges,29
1764720664,proftpd,aflnet,1,nodes,14
1764720664,proftpd,aflnet,1,edges,30
1764720669,proftpd,aflnet,1,nodes,14
1764720669,proftpd,aflnet,1,edges,31
1764720674,proftpd,aflnet,1,nodes,14
1764720674,proftpd,aflnet,1,edges,31
1764720680,proftpd,aflnet,1,nodes,14
1764720680,proftpd,aflnet,1,edges,31
1764720685,proftpd,aflnet,1,nodes,14
1764720685,proftpd,aflnet,1,edges,31
1764720690,proftpd,aflnet,1,nodes,14
1764720690,proftpd,aflnet,1,edges,31
1764720695,proftpd,aflnet,1,nodes,14
1764720695,proftpd,aflnet,1,edges,31
1764720700,proftpd,aflnet,1,nodes,14
1764720700,proftpd,aflnet,1,edges,31
1764720705,proftpd,aflnet,1,nodes,14
1764720705,proftpd,aflnet,1,edges,31
1764720710,proftpd,aflnet,1,nodes,14
1764720710,proftpd,aflnet,1,edges,31
1764720715,proftpd,aflnet,1,nodes,14
1764720715,proftpd,aflnet,1,edges,31
1764720721,proftpd,aflnet,1,nodes,14
1764720721,proftpd,aflnet,1,edges,31
1764720726,proftpd,aflnet,1,nodes,14
1764720726,proftpd,aflnet,1,edges,31
1764720731,proftpd,aflnet,1,nodes,14
1764720731,proftpd,aflnet,1,edges,31
1764720736,proftpd,aflnet,1,nodes,14
1764720736,proftpd,aflnet,1,edges,31
1764720741,proftpd,aflnet,1,nodes,14
1764720741,proftpd,aflnet,1,edges,31
1764720746,proftpd,aflnet,1,nodes,14
1764720746,proftpd,aflnet,1,edges,31
1764720751,proftpd,aflnet,1,nodes,14
1764720751,proftpd,aflnet,1,edges,31
1764720756,proftpd,aflnet,1,nodes,14
1764720756,proftpd,aflnet,1,edges,33
1764720761,proftpd,aflnet,1,nodes,14
1764720761,proftpd,aflnet,1,edges,33
1764720771,proftpd,aflnet,1,nodes,14
1764720771,proftpd,aflnet,1,edges,33
1764720777,proftpd,aflnet,1,nodes,14
1764720777,proftpd,aflnet,1,edges,33
1764720782,proftpd,aflnet,1,nodes,14
1764720782,proftpd,aflnet,1,edges,33
1764720787,proftpd,aflnet,1,nodes,14
1764720787,proftpd,aflnet,1,edges,33
1764720802,proftpd,aflnet,1,nodes,14
1764720802,proftpd,aflnet,1,edges,33
1764720807,proftpd,aflnet,1,nodes,14
1764720807,proftpd,aflnet,1,edges,33
1764720818,proftpd,aflnet,1,nodes,14
1764720818,proftpd,aflnet,1,edges,33
1764720823,proftpd,aflnet,1,nodes,14
1764720823,proftpd,aflnet,1,edges,33
1764720828,proftpd,aflnet,1,nodes,16
1764720828,proftpd,aflnet,1,edges,38
1764720838,proftpd,aflnet,1,nodes,16
1764720838,proftpd,aflnet,1,edges,38
1764720843,proftpd,aflnet,1,nodes,16
1764720843,proftpd,aflnet,1,edges,39
1764720849,proftpd,aflnet,1,nodes,16
1764720849,proftpd,aflnet,1,edges,40
1764720854,proftpd,aflnet,1,nodes,16
1764720854,proftpd,aflnet,1,edges,40
1764720864,proftpd,aflnet,1,nodes,16
1764720864,proftpd,aflnet,1,edges,40
1764720869,proftpd,aflnet,1,nodes,16
1764720869,proftpd,aflnet,1,edges,41
1764720874,proftpd,aflnet,1,nodes,16
1764720874,proftpd,aflnet,1,edges,41
1764720880,proftpd,aflnet,1,nodes,16
1764720880,proftpd,aflnet,1,edges,42
1764720885,proftpd,aflnet,1,nodes,16
1764720885,proftpd,aflnet,1,edges,43
1764720890,proftpd,aflnet,1,nodes,16
1764720890,proftpd,aflnet,1,edges,43
1764720895,proftpd,aflnet,1,nodes,16
1764720895,proftpd,aflnet,1,edges,43
1764720900,proftpd,aflnet,1,nodes,16
1764720900,proftpd,aflnet,1,edges,43
1764720905,proftpd,aflnet,1,nodes,16
1764720905,proftpd,aflnet,1,edges,46
1764720910,proftpd,aflnet,1,nodes,16
1764720910,proftpd,aflnet,1,edges,47
1764720915,proftpd,aflnet,1,nodes,16
1764720915,proftpd,aflnet,1,edges,47
1764720931,proftpd,aflnet,1,nodes,16
1764720931,proftpd,aflnet,1,edges,48
1764720936,proftpd,aflnet,1,nodes,16
1764720936,proftpd,aflnet,1,edges,49
1764720946,proftpd,aflnet,1,nodes,16
1764720946,proftpd,aflnet,1,edges,49
1764720952,proftpd,aflnet,1,nodes,16
1764720952,proftpd,aflnet,1,edges,49
1764720957,proftpd,aflnet,1,nodes,16
1764720957,proftpd,aflnet,1,edges,50
1764720962,proftpd,aflnet,1,nodes,16
1764720962,proftpd,aflnet,1,edges,50
1764720967,proftpd,aflnet,1,nodes,17
1764720967,proftpd,aflnet,1,edges,52
1764720972,proftpd,aflnet,1,nodes,17
1764720972,proftpd,aflnet,1,edges,52
1764720977,proftpd,aflnet,1,nodes,17
1764720977,proftpd,aflnet,1,edges,52
1764720982,proftpd,aflnet,1,nodes,17
1764720982,proftpd,aflnet,1,edges,52
1764720987,proftpd,aflnet,1,nodes,17
1764720987,proftpd,aflnet,1,edges,54
1764720993,proftpd,aflnet,1,nodes,17
1764720993,proftpd,aflnet,1,edges,54
1764720998,proftpd,aflnet,1,nodes,17
1764720998,proftpd,aflnet,1,edges,54
1764721008,proftpd,aflnet,1,nodes,17
1764721008,proftpd,aflnet,1,edges,54
1764721013,proftpd,aflnet,1,nodes,17
1764721013,proftpd,aflnet,1,edges,54
